"rotten_tomatoes_link","movie_title","original_release_date","content_rating","tomatometer_status","tomatometer_rating","tomatometer_count","audience_status","audience_rating","audience_count","gender","num_of_gender","num_of_casts","gender_rato_percentage","release_year","rating"
"m/the_girl_with_all_the_gifts","The Girl With All the Gifts",2017-02-24,"R","Certified-Fresh",86,126,"Upright",67,9226,"Male",5,13,38,2017,"R"
"m/the_glass_castle_2017","The Glass Castle",2017-08-11,"PG-13","Rotten",52,164,"Upright",71,8747,"Male",2,5,40,2017,"PG-13"
"m/the_good_catholic","The Good Catholic",2017-09-08,"PG-13","Rotten",46,13,"Upright",81,216,"Male",2,2,100,2017,"PG-13"
"m/the_great_wall_2017","The Great Wall",2017-02-17,"PG-13","Rotten",36,232,"Spilled",42,23735,"Male",6,6,100,2017,"PG-13"
"m/the_greatest_showman_2017","The Greatest Showman",2017-12-20,"PG","Rotten",56,262,"Upright",86,26128,"Male",10,17,59,2017,"PG"
"m/the_hero_2017","The Hero",2017-06-09,"R","Certified-Fresh",78,113,"Spilled",59,6978,"Male",2,4,50,2017,"R"
"m/the_hitmans_bodyguard","The Hitman's Bodyguard",2017-08-18,"R","Rotten",43,223,"Upright",67,27106,"Male",5,7,71,2017,"R"
"m/the_house_2017","The House",2017-06-30,"R","Rotten",20,81,"Spilled",35,13395,"Male",4,9,44,2017,"R"
"m/the_hunters_prayer","The Hunter's Prayer",2017-06-09,"R","Rotten",33,21,"Spilled",23,354,"Male",3,5,60,2017,"R"
"m/the_institute_2017","The Institute",2017-03-03,"R","Rotten",0,5,"Spilled",14,179,"Male",7,16,44,2017,"R"
"m/the_journey_2017","The Journey",2017-06-16,"PG-13","Fresh",68,90,"Upright",64,550,"Male",5,5,100,2017,"PG-13"
"m/the_killing_of_a_sacred_deer","The Killing of a Sacred Deer",2017-10-20,"R","Certified-Fresh",80,275,"Upright",63,10187,"Male",3,6,50,2017,"R"
"m/the_last_face_2017","The Last Face",2017-07-28,"R","Rotten",8,48,"Spilled",33,577,"Male",3,5,60,2017,"R"
"m/the_last_word_2017","The Last Word",2017-03-03,"R","Rotten",40,95,"Upright",64,2476,"Male",4,9,44,2017,"R"
"m/the_layover","The Layover",2017-09-01,"R","Rotten",0,18,"Spilled",22,1511,"Male",2,5,40,2017,"R"
"m/the_lego_batman_movie","The Lego Batman Movie",2017-02-10,"PG","Certified-Fresh",90,310,"Upright",80,46474,"Male",12,20,60,2017,"PG"
"m/the_lego_ninjago_movie","The Lego Ninjago Movie",2017-09-22,"PG","Rotten",56,134,"Spilled",46,18821,"Male",7,9,78,2017,"PG"
"m/the_little_hours","The Little Hours",2017-06-30,"R","Certified-Fresh",78,127,"Spilled",49,6827,"Male",7,12,58,2017,"R"
"m/the_lost_city_of_z","The Lost City of Z",2017-04-21,"PG-13","Certified-Fresh",87,245,"Spilled",57,21542,"Male",3,4,75,2017,"PG-13"
"m/the_man_who_invented_christmas","The Man Who Invented Christmas",2017-11-22,"PG","Certified-Fresh",79,171,"Upright",77,3901,"Male",4,5,80,2017,"PG"
"m/the_mountain_between_us","The Mountain Between Us",2017-10-06,"PG-13","Rotten",38,171,"Spilled",47,12560,"Male",3,4,75,2017,"PG-13"
"m/the_mummy_2017","The Mummy",2017-06-09,"PG-13","Rotten",16,310,"Spilled",35,47833,"Male",9,12,75,2017,"PG-13"
"m/the_nut_job_2_nutty_by_nature","The Nut Job 2: Nutty by Nature",2017-08-11,"PG","Rotten",14,63,"Spilled",43,7256,"Male",9,11,82,2017,"PG"
"m/the_outcasts_2017","The Outcasts",2017-04-14,"PG-13","Rotten",56,9,"Spilled",47,2891,"Male",4,9,44,2017,"PG-13"
"m/the_promise_2017","The Promise",2017-04-21,"PG-13","Rotten",51,160,"Upright",92,11551,"Male",12,16,75,2017,"PG-13"
"m/the_red_turtle","The Red Turtle (La tortue rouge)",2017-01-20,"PG","Certified-Fresh",93,165,"Upright",80,6496,"Male",2,2,100,2017,"PG"
"m/the_resurrection_of_gavin_stone","The Resurrection of Gavin Stone",2017-01-20,"PG","Rotten",50,12,"Upright",83,1876,"Male",3,3,100,2017,"PG"
"m/the_salesman_2017","The Salesman (Forushande)",2017-01-27,"PG-13","Certified-Fresh",96,196,"Upright",84,7350,"Male",2,3,67,2017,"PG-13"
"m/the_secret_scripture","The Secret Scripture",2017-10-13,"PG-13","Rotten",36,39,"Upright",69,292,"Male",5,7,71,2017,"PG-13"
"m/the_sense_of_an_ending_2017","The Sense Of An Ending",2017-03-10,"PG-13","Certified-Fresh",75,120,"Spilled",51,1723,"Male",4,9,44,2017,"PG-13"
"m/the_shack","The Shack",2017-03-03,"PG-13","Rotten",21,72,"Upright",77,16442,"Male",7,13,54,2017,"PG-13"
"m/the_shape_of_water_2017","The Shape of Water",2017-12-22,"R","Certified-Fresh",92,448,"Upright",72,25784,"Male",12,17,71,2017,"R"
"m/the_snowman_2017","The Snowman",2017-10-20,"R","Rotten",7,196,"Spilled",18,11285,"Male",6,11,55,2017,"R"
"m/the_space_between_us","The Space Between Us",2017-02-03,"PG-13","Rotten",16,135,"Spilled",54,14410,"Male",2,5,40,2017,"PG-13"
"m/the_square_2017","The Square",2017-10-27,"R","Certified-Fresh",85,214,"Upright",70,4082,"Male",2,3,67,2017,"R"
"m/the_star_2017","The Star",2017-11-17,"PG","Rotten",42,52,"Upright",71,2972,"Male",16,22,73,2017,"PG"
"m/the_stray_2017","The Stray",2017-10-06,"PG","Rotten",40,10,"Upright",69,903,"Male",2,3,67,2017,"PG"
"m/the_tribes_of_palos_verdes","The Tribes of Palos Verdes",2017-12-01,"R","Fresh",64,22,"Spilled",58,259,"Male",2,4,50,2017,"R"
"m/the_wall_2017","The Wall",2017-05-12,"R","Fresh",65,125,"Spilled",42,6568,"Male",2,2,100,2017,"R"
"m/the_wilde_wedding","The Wilde Wedding",2017-09-15,"R","Rotten",27,15,"Spilled",14,103,"Male",5,9,56,2017,"R"
"m/the_zookeepers_wife_2017","The Zookeeper's Wife",2017-03-31,"PG-13","Fresh",63,178,"Upright",76,12772,"Male",3,4,75,2017,"PG-13"
"m/their_finest_2017","Their Finest",2017-04-07,"R","Certified-Fresh",90,167,"Upright",71,8090,"Male",9,14,64,2017,"R"
"m/this_beautiful_fantastic_2017","This Beautiful Fantastic",2017-03-10,"PG","Fresh",61,23,"Upright",75,533,"Male",3,5,60,2017,"PG"
"m/thor_ragnarok_2017","Thor: Ragnarok",2017-11-03,"PG-13","Certified-Fresh",93,426,"Upright",87,94666,"Male",11,13,85,2017,"PG-13"
"m/three_billboards_outside_ebbing_missouri","Three Billboards Outside Ebbing, Missouri",2017-12-01,"R","Certified-Fresh",90,405,"Upright",87,22869,"Male",7,10,70,2017,"R"
"m/tommys_honour","Tommy's Honour",2017-04-14,"PG","Fresh",67,83,"Upright",68,1413,"Male",4,5,80,2017,"PG"
"m/top_cat_begins","Top Cat Begins (Don Gato, el inicio de la pandilla)",2017-09-29,"PG","Rotten",14,7,"Spilled",28,111,"Male",2,2,100,2017,"PG"
"m/trafficked_2017","Trafficked",2017-10-06,"R","Rotten",29,7,"Upright",60,116,"Male",2,6,33,2017,"R"
"m/transformers_the_last_knight_2017","Transformers: The Last Knight",2017-06-21,"PG-13","Rotten",15,250,"Spilled",43,39851,"Male",34,42,81,2017,"PG-13"
"m/trespass_against_us_2017","Trespass Against Us",2017-01-20,"R","Rotten",57,70,"Spilled",25,1304,"Male",14,16,88,2017,"R"
"m/tulip_fever","Tulip Fever",2017-09-01,"R","Rotten",10,60,"Spilled",43,5277,"Male",9,15,60,2017,"R"
"m/tyler_perrys_boo_2_a_madea_halloween","Tyler Perry's Boo 2! A Madea Halloween",2017-10-20,"PG-13","Rotten",4,23,"Spilled",40,5787,"Male",1,2,50,2017,"PG-13"
"m/un_padre_no_tan_padre","Un Padre No Tan Padre",2017-01-27,"PG-13","Fresh",75,8,"Upright",86,896,"Male",3,4,75,2017,"PG-13"
"m/una_2017","Una",2017-10-06,"R","Certified-Fresh",76,109,"Spilled",49,2124,"Male",3,7,43,2017,"R"
"m/underworld_blood_wars_2017","Underworld: Blood Wars",2017-01-06,"R","Rotten",21,96,"Spilled",49,22147,"Male",7,12,58,2017,"R"
"m/unforgettable_2017","Unforgettable",2017-04-21,"R","Rotten",28,119,"Spilled",33,6384,"Male",1,6,17,2017,"R"
"m/unlocked_2017","Unlocked",2017-09-01,"R","Rotten",26,57,"Spilled",42,1579,"Male",3,5,60,2017,"R"
"m/valerian_and_the_city_of_a_thousand_planets","Valerian and the City of a Thousand Planets",2017-07-21,"PG-13","Rotten",48,294,"Spilled",53,27796,"Male",6,8,75,2017,"PG-13"
"m/victoria_and_abdul","Victoria & Abdul",2017-10-06,"PG-13","Fresh",65,197,"Upright",68,9548,"Male",8,11,73,2017,"PG-13"
"m/vincent_n_roxxy","Vincent N Roxxy",2017-06-02,"R","Rotten",41,17,"Upright",65,256,"Male",2,4,50,2017,"R"
"m/voice_from_the_stone","Voice from the Stone",2017-04-28,"R","Rotten",38,26,"Spilled",33,548,"Male",2,5,40,2017,"R"
"m/wakefield","Wakefield",2017-05-19,"R","Certified-Fresh",72,69,"Spilled",52,6893,"Male",2,3,67,2017,"R"
"m/walking_out","Walking Out",2017-10-06,"PG-13","Certified-Fresh",90,49,"Spilled",56,867,"Male",4,5,80,2017,"PG-13"
"m/war_for_the_planet_of_the_apes","War for the Planet of the Apes",2017-07-14,"PG-13","Certified-Fresh",94,353,"Upright",84,56968,"Male",15,19,79,2017,"PG-13"
"m/war_on_everyone","War on Everyone",2017-02-03,"R","Fresh",61,97,"Spilled",37,3507,"Male",5,7,71,2017,"R"
"m/wilson_2017","Wilson",2017-03-24,"R","Rotten",47,131,"Spilled",30,2531,"Male",2,6,33,2017,"R"
"m/wind_river_2017","Wind River",2017-08-04,"R","Certified-Fresh",88,249,"Upright",90,29408,"Male",11,15,73,2017,"R"
"m/wish_upon","Wish Upon",2017-07-14,"PG-13","Rotten",19,94,"Spilled",30,4637,"Male",3,11,27,2017,"PG-13"
"m/wolves_2016","Wolves",2017-03-03,"R","Rotten",33,27,"Spilled",45,155,"Male",3,5,60,2017,"R"
"m/wonder","Wonder",2017-11-17,"PG","Certified-Fresh",85,190,"Upright",88,18946,"Male",9,18,50,2017,"PG"
"m/wonder_wheel","Wonder Wheel",2017-12-01,"PG-13","Rotten",31,198,"Spilled",41,1674,"Male",6,10,60,2017,"PG-13"
"m/wonder_woman_2017","Wonder Woman",2017-06-02,"PG-13","Certified-Fresh",93,458,"Upright",86,131171,"Male",11,24,46,2017,"PG-13"
"m/wonderstruck","Wonderstruck",2017-10-20,"PG","Fresh",68,223,"Spilled",55,3126,"Male",8,9,89,2017,"PG"
"m/woodshock_2017","Woodshock",2017-09-22,"R","Rotten",24,55,"Spilled",24,1109,"Male",1,2,50,2017,"R"
"m/xx","XX",2017-02-17,"R","Fresh",70,61,"Spilled",19,2496,"Male",7,17,41,2017,"R"
"m/xxx_return_of_xander_cage","xXx: Return of Xander Cage",2017-01-20,"PG-13","Rotten",45,148,"Spilled",37,25247,"Male",15,22,68,2017,"PG-13"
"m/10_cloverfield_lane","10 Cloverfield Lane",2016-03-11,"PG-13","Certified-Fresh",90,309,"Upright",79,60918,"Male",5,8,62,2016,"PG-13"
"m/13_hours_the_secret_soldiers_of_benghazi","13 Hours: The Secret Soldiers Of Benghazi",2016-01-15,"R","Rotten",51,222,"Upright",82,33586,"Male",17,22,77,2016,"R"
"m/31","31",2016-10-21,"R","Rotten",47,45,"Spilled",35,4535,"Male",9,17,53,2016,"R"
"m/a_bigger_splash_2016","A Bigger Splash",2016-05-04,"R","Certified-Fresh",90,181,"Spilled",58,8569,"Male",3,5,60,2016,"R"
"m/a_hologram_for_the_king","A Hologram for the King",2016-04-22,"R","Fresh",71,148,"Spilled",55,10230,"Male",7,11,64,2016,"R"
"m/a_kind_of_murder","A Kind of Murder",2016-12-16,"R","Rotten",35,17,"Spilled",14,503,"Male",4,14,29,2016,"R"
"m/a_man_called_ove","A Man Called Ove (En man som heter Ove)",2016-09-30,"PG-13","Certified-Fresh",91,118,"Upright",87,9781,"Male",3,8,38,2016,"PG-13"
"m/a_perfect_day","A Perfect Day",2016-01-15,"R","Fresh",72,57,"Spilled",56,1652,"Male",4,6,67,2016,"R"
"m/a_tale_of_love_and_darkness","A Tale of Love and Darkness",2016-08-19,"PG-13","Fresh",71,66,"Spilled",50,2477,"Male",5,7,71,2016,"PG-13"
"m/a_war","A War (Krigen)",2016-02-12,"R","Certified-Fresh",91,93,"Upright",79,1948,"Male",4,5,80,2016,"R"
"m/abattoir","Abattoir",2016-12-09,"R","Rotten",38,21,"Spilled",29,445,"Male",9,14,64,2016,"R"
"m/absolutely_fabulous_the_movie","Absolutely Fabulous: The Movie",2016-07-22,"R","Rotten",58,151,"Spilled",41,7570,"Male",9,27,33,2016,"R"
"m/ace_the_case_manhattan_mystery_2016","Ace the Case: Manhattan Mystery",2016-08-26,"PG-13","Rotten",20,5,"Spilled",49,87,"Male",5,9,56,2016,"PG-13"
"m/alice_in_wonderland_through_the_looking_glass","Alice Through the Looking Glass",2016-05-27,"PG","Rotten",29,254,"Spilled",48,37874,"Male",18,34,53,2016,"PG"
"m/allied","Allied",2016-11-23,"R","Fresh",60,253,"Upright",63,25271,"Male",3,5,60,2016,"R"
"m/almost_christmas_2016","Almost Christmas",2016-11-11,"PG-13","Rotten",49,69,"Upright",64,7744,"Male",7,11,64,2016,"PG-13"
"m/american_honey","American Honey",2016-09-30,"R","Certified-Fresh",79,211,"Upright",63,8500,"Male",3,6,50,2016,"R"
"m/american_pastoral","American Pastoral",2016-10-21,"R","Rotten",23,119,"Spilled",30,2597,"Male",6,15,40,2016,"R"
"m/andron","Andron (Andròn - The Black Labyrinth)",2016-06-03,"R","Rotten",0,6,"Spilled",13,203,"Male",4,5,80,2016,"R"
"m/anesthesia","Anesthesia",2016-01-08,"R","Rotten",25,44,"Spilled",50,730,"Male",13,24,54,2016,"R"
"m/anthropoid","Anthropoid",2016-08-12,"R","Fresh",66,106,"Upright",71,6553,"Male",11,13,85,2016,"R"
"m/approaching_the_unknown","Approaching the Unknown",2016-06-03,"PG","Rotten",43,21,"Spilled",14,1539,"Male",2,3,67,2016,"PG"
"m/april_and_the_extraordinary_world_2016","April and the Extraordinary World (Avril et le monde truqué)",2016-03-25,"PG","Certified-Fresh",96,56,"Upright",77,3409,"Male",4,7,57,2016,"PG"
"m/army_of_one_2016","Army of One",2016-11-04,"R","Rotten",25,12,"Spilled",25,554,"Male",10,13,77,2016,"R"
"m/arrival_2016","Arrival",2016-11-11,"PG-13","Certified-Fresh",94,426,"Upright",82,83315,"Male",21,36,58,2016,"PG-13"
"m/assassins_creed","Assassin's Creed",2016-12-21,"PG-13","Rotten",18,221,"Spilled",43,57442,"Male",9,16,56,2016,"PG-13"
"m/author_the_jt_leroy_story","Author: The JT LeRoy Story",2016-09-09,"R","Certified-Fresh",77,91,"Upright",62,471,"Male",1,4,25,2016,"R"
"m/avas_possessions","Ava's Possessions",2016-03-04,"R","Fresh",69,16,"Spilled",41,315,"Male",6,14,43,2016,"R"
"m/bad_moms","Bad Moms",2016-07-29,"R","Rotten",58,169,"Upright",63,41091,"Male",7,24,29,2016,"R"
"m/bad_santa_2","Bad Santa 2",2016-11-23,"R","Rotten",24,134,"Spilled",33,10356,"Male",5,9,56,2016,"R"
"m/barbershop_the_next_cut_2016","Barbershop: The Next Cut",2016-04-15,"PG-13","Certified-Fresh",90,93,"Upright",66,19809,"Male",12,16,75,2016,"PG-13"
"m/batman_v_superman_dawn_of_justice","Batman v Superman: Dawn of Justice",2016-03-23,"PG-13","Rotten",28,423,"Upright",62,234935,"Male",46,69,67,2016,"PG-13"
"m/batman_the_killing_joke","Batman: The Killing Joke",2016-07-25,"R","Rotten",40,40,"Spilled",46,9753,"Male",9,11,82,2016,"R"
"m/beauty_and_the_beast_2014","Beauty And The Beast (La belle et la bête)",2016-09-23,"PG-13","Rotten",41,27,"Spilled",53,3737,"Male",8,14,57,2016,"PG-13"
"m/before_the_flood_2016","Before the Flood",2016-10-30,"PG","Fresh",75,32,"Upright",77,4845,"Male",4,4,100,2016,"PG"
"m/believe_2016","Believe",2016-12-02,"PG","Rotten",33,6,"Upright",68,715,"Male",6,10,60,2016,"PG"
"m/ben_hur_2016","Ben-Hur",2016-08-19,"PG-13","Rotten",25,190,"Spilled",53,18998,"Male",2,2,100,2016,"PG-13"
"m/billy_lynns_long_halftime_walk","Billy Lynn's Long Halftime Walk",2016-11-18,"R","Rotten",44,158,"Spilled",41,6226,"Male",12,20,60,2016,"R"
"m/blackway","Blackway",2016-06-10,"R","Rotten",20,5,"Spilled",28,879,"Male",12,17,71,2016,"R"
"m/blair_witch","Blair Witch",2016-09-16,"R","Rotten",37,219,"Spilled",31,12840,"Male",1,2,50,2016,"R"
"m/bleed_for_this","Bleed For This",2016-11-18,"R","Fresh",70,141,"Upright",69,8854,"Male",10,15,67,2016,"R"
"m/bling_2016","Bling",2016-05-06,"PG","Rotten",33,6,"Spilled",32,57,"Male",7,9,78,2016,"PG"
"m/blood_father","Blood Father",2016-08-12,"R","Certified-Fresh",89,97,"Upright",63,9869,"Male",6,7,86,2016,"R"
"m/born_to_be_blue","Born To Be Blue",2016-03-25,"R","Certified-Fresh",88,117,"Upright",73,6870,"Male",11,17,65,2016,"R"
"m/bridget_joness_baby_2016","Bridget Jones's Baby",2016-09-16,"R","Certified-Fresh",78,209,"Upright",65,19983,"Male",14,31,45,2016,"R"
"m/brother_nature","Brother Nature",2016-09-09,"R","Rotten",57,7,"Spilled",30,193,"Male",6,13,46,2016,"R"
"m/busco_novio_para_mi_mujer","Busco Novio Para Mi Mujer",2016-02-19,"PG-13","Fresh",78,9,"Upright",68,1038,"Male",4,6,67,2016,"PG-13"
"m/cabin_fever_2016","Cabin Fever",2016-02-12,"R","Rotten",0,28,"Spilled",12,695,"Male",9,14,64,2016,"R"
"m/cafe_society_2016","Café Society",2016-07-15,"PG-13","Fresh",71,253,"Spilled",56,13746,"Male",19,27,70,2016,"PG-13"
"m/captain_america_civil_war","Captain America: Civil War",2016-05-06,"PG-13","Certified-Fresh",91,414,"Upright",89,180162,"Male",24,33,73,2016,"PG-13"
"m/captain_fantastic","Captain Fantastic",2016-07-08,"R","Certified-Fresh",83,225,"Upright",85,22252,"Male",5,9,56,2016,"R"
"m/careful_what_you_wish_for","Careful What You Wish For",2016-06-10,"R","Rotten",17,24,"Upright",61,2719,"Male",8,11,73,2016,"R"
"m/cell_2016","Cell",2016-07-08,"R","Rotten",11,54,"Spilled",17,3835,"Male",10,14,71,2016,"R"
"m/central_intelligence","Central Intelligence",2016-06-17,"PG-13","Fresh",71,187,"Upright",61,54356,"Male",15,19,79,2016,"PG-13"
"m/certain_women_2016","Certain Women",2016-10-14,"R","Certified-Fresh",91,188,"Spilled",51,5460,"Male",7,13,54,2016,"R"
"m/christine_2016","Christine",2016-10-14,"R","Certified-Fresh",88,124,"Upright",71,5530,"Male",10,17,59,2016,"R"
"m/chronic","Chronic",2016-09-23,"R","Certified-Fresh",77,60,"Spilled",57,662,"Male",3,4,75,2016,"R"
"m/clown_2016","Clown",2016-06-17,"R","Rotten",44,25,"Spilled",37,4823,"Male",5,10,50,2016,"R"
"m/collateral_beauty","Collateral Beauty",2016-12-16,"PG-13","Rotten",14,184,"Upright",64,22272,"Male",3,7,43,2016,"PG-13"
"m/colonia","Colonia",2016-04-15,"R","Rotten",26,47,"Upright",61,3937,"Male",8,12,67,2016,"R"
"m/come_and_find_me","Come And Find Me",2016-11-11,"R","Fresh",62,13,"Spilled",33,564,"Male",7,10,70,2016,"R"
"m/coming_through_the_rye","Coming Through The Rye",2016-10-14,"PG-13","Fresh",70,23,"Upright",65,349,"Male",9,11,82,2016,"PG-13"
"m/compadres_2016","Compadres",2016-04-22,"R","Rotten",38,16,"Spilled",51,1085,"Male",9,9,100,2016,"R"
"m/complete_unknown","Complete Unknown",2016-08-26,"R","Rotten",52,75,"Spilled",24,967,"Male",7,11,64,2016,"R"
"m/contract_to_kill","Contract to Kill",2016-12-09,"R","Rotten",0,5,"Spilled",18,144,"Male",2,2,100,2016,"R"
"m/creative_control","Creative Control",2016-03-11,"R","Fresh",60,55,"Spilled",38,576,"Male",4,7,57,2016,"R"
"m/criminal_2016","Criminal",2016-04-15,"R","Rotten",30,135,"Spilled",47,20595,"Male",24,30,80,2016,"R"
"m/deepwater_horizon","Deepwater Horizon",2016-09-30,"PG-13","Certified-Fresh",83,260,"Upright",82,46134,"Male",14,18,78,2016,"PG-13"
"m/demolition_2016","Demolition",2016-04-08,"R","Rotten",53,204,"Spilled",54,8045,"Male",10,17,59,2016,"R"
"m/demon_2016","Demon",2016-09-09,"R","Certified-Fresh",92,71,"Spilled",56,1444,"Male",2,3,67,2016,"R"
"m/denial_2016","Denial",2016-09-30,"PG-13","Certified-Fresh",82,164,"Upright",71,9336,"Male",9,14,64,2016,"PG-13"
"m/desierto_2016","Desierto",2016-10-14,"R","Fresh",63,91,"Spilled",47,4546,"Male",5,5,100,2016,"R"
"m/dheepan","Dheepan",2016-05-06,"R","Certified-Fresh",87,125,"Upright",82,4289,"Male",2,2,100,2016,"R"
"m/diablo_2016","Diablo",2016-01-08,"R","Rotten",19,21,"Spilled",27,565,"Male",12,14,86,2016,"R"
"m/dirty_grandpa","Dirty Grandpa",2016-01-22,"R","Rotten",11,135,"Spilled",44,30295,"Male",17,29,59,2016,"R"
"m/doctor_strange_2016","Doctor Strange",2016-11-04,"PG-13","Certified-Fresh",89,373,"Upright",86,110451,"Male",11,21,52,2016,"PG-13"
"m/dont_breathe_2016","Don't Breathe",2016-08-26,"R","Certified-Fresh",88,232,"Upright",78,40629,"Male",1,5,20,2016,"R"
"m/dont_think_twice","Don't Think Twice",2016-07-22,"R","Certified-Fresh",98,135,"Upright",69,19250,"Male",3,5,60,2016,"R"
"m/eat_that_question_frank_zappa_in_his_own_words","Eat That Question: Frank Zappa in His Own Words",2016-06-24,"R","Certified-Fresh",92,73,"Upright",73,1592,"Male",5,5,100,2016,"R"
"m/eddie_the_eagle","Eddie The Eagle",2016-02-26,"PG-13","Certified-Fresh",82,199,"Upright",82,22886,"Male",16,21,76,2016,"PG-13"
"m/elle_2016","Elle",2016-11-11,"R","Certified-Fresh",91,237,"Upright",73,11921,"Male",11,20,55,2016,"R"
"m/elvis_and_nixon_2016","Elvis & Nixon",2016-04-22,"R","Certified-Fresh",77,153,"Spilled",57,6029,"Male",14,18,78,2016,"R"
"m/enemy_territory_2016","Enemy Territory (Septembers Of Shiraz)",2016-06-24,"PG-13","Rotten",31,13,"Spilled",44,261,"Male",7,11,64,2016,"PG-13"
"m/equals_2016","Equals",2016-07-15,"PG-13","",NA,NA,"Spilled",42,3035,"Male",6,10,60,2016,"PG-13"
"m/equity","Equity",2016-07-29,"R","Certified-Fresh",82,99,"Spilled",52,4804,"Male",8,15,53,2016,"R"
"m/everybody_wants_some","Everybody Wants Some!!",2016-04-08,"R","Certified-Fresh",87,240,"Upright",68,15605,"Male",6,12,50,2016,"R"
"m/exposed_2016","Exposed",2016-01-22,"R","Rotten",8,25,"Spilled",15,1216,"Male",15,22,68,2016,"R"
"m/eye_in_the_sky","Eye In The Sky",2016-04-01,"R","Certified-Fresh",95,216,"Upright",82,32887,"Male",11,15,73,2016,"R"
"m/fantastic_beasts_and_where_to_find_them","Fantastic Beasts and Where to Find Them",2016-11-18,"PG-13","Certified-Fresh",74,338,"Upright",79,87980,"Male",17,32,53,2016,"PG-13"
"m/fathers_and_daughters","Fathers And Daughters",2016-07-08,"R","Rotten",28,50,"Spilled",58,2401,"Male",7,13,54,2016,"R"
"m/fear_inc","Fear, Inc.",2016-10-21,"R","Rotten",50,12,"Spilled",39,246,"Male",5,9,56,2016,"R"
"m/fences_2016","Fences",2016-12-25,"PG-13","Certified-Fresh",92,265,"Upright",75,36228,"Male",5,8,62,2016,"PG-13"
"m/fifty_shades_of_black","Fifty Shades of Black",2016-01-29,"R","Rotten",7,46,"Spilled",19,11154,"Male",8,13,62,2016,"R"
"m/finding_dory","Finding Dory",2016-06-17,"PG","Certified-Fresh",94,329,"Upright",84,181985,"Male",15,22,68,2016,"PG"
"m/florence_foster_jenkins_2016","Florence Foster Jenkins",2016-08-12,"PG-13","Certified-Fresh",87,229,"Upright",68,16893,"Male",11,18,61,2016,"PG-13"
"m/forsaken_2016","Forsaken",2016-02-19,"R","Rotten",42,45,"Upright",87,4208,"Male",12,14,86,2016,"R"
"m/free_state_of_jones","Free State of Jones",2016-06-24,"R","Rotten",47,187,"Upright",64,20821,"Male",19,28,68,2016,"R"
"m/genius_2016","Genius",2016-06-10,"PG-13","Rotten",53,109,"Spilled",46,2890,"Male",9,14,64,2016,"PG-13"
"m/get_a_job_2016","Get a Job",2016-03-25,"R","Rotten",5,22,"Spilled",21,5270,"Male",15,22,68,2016,"R"
"m/ghost_team_2016","Ghost Team",2016-08-12,"PG-13","Rotten",11,9,"Spilled",31,230,"Male",3,5,60,2016,"PG-13"
"m/ghostbusters_2016","Ghostbusters",2016-07-15,"PG-13","Certified-Fresh",74,384,"Spilled",50,119730,"Male",1,2,50,2016,"PG-13"
"m/goat_2016","Goat",2016-09-23,"R","Certified-Fresh",79,76,"Spilled",44,4012,"Male",5,7,71,2016,"R"
"m/gods_not_dead_2","God's Not Dead 2",2016-04-01,"PG","Rotten",10,40,"Upright",62,13293,"Male",9,17,53,2016,"PG"
"m/gods_of_egypt","Gods Of Egypt",2016-02-26,"PG-13","Rotten",16,192,"Spilled",37,31835,"Male",15,21,71,2016,"PG-13"
"m/good_kids_2016","Good Kids",2016-10-21,"R","Rotten",33,6,"Spilled",41,403,"Male",6,11,55,2016,"R"
"m/greater","Greater",2016-08-26,"PG","Fresh",67,15,"Upright",85,3160,"Male",14,16,88,2016,"PG"
"m/green_room_2016","Green Room",2016-04-29,"R","Certified-Fresh",91,237,"Upright",75,21801,"Male",8,12,67,2016,"R"
"m/hacksaw_ridge","Hacksaw Ridge",2016-11-04,"R","Certified-Fresh",84,277,"Upright",91,55594,"Male",13,15,87,2016,"R"
"m/hail_caesar_2016","Hail, Caesar!",2016-02-05,"PG-13","Certified-Fresh",85,358,"Spilled",44,40842,"Male",36,44,82,2016,"PG-13"
"m/hands_of_stone","Hands of Stone",2016-08-26,"R","Rotten",45,108,"Spilled",52,5279,"Male",8,11,73,2016,"R"
"m/hardcore_henry","Hardcore Henry",2016-04-08,"R","Rotten",51,144,"Spilled",54,18340,"Male",3,7,43,2016,"R"
"m/hell_or_high_water","Hell or High Water",2016-08-12,"R","Certified-Fresh",97,280,"Upright",88,40088,"Male",13,21,62,2016,"R"
"m/hello_my_name_is_doris","Hello, My Name is Doris",2016-03-11,"R","Certified-Fresh",85,126,"Upright",76,16126,"Male",7,16,44,2016,"R"
"m/high_strung_2016","High Strung",2016-04-08,"PG","Fresh",75,8,"Upright",63,871,"Male",4,8,50,2016,"PG"
"m/high_rise_2016","High-Rise",2016-05-13,"R","Fresh",60,217,"Spilled",36,12034,"Male",18,30,60,2016,"R"
"m/honeyglue","Honeyglue",2016-06-03,"R","Rotten",36,11,"Upright",69,58,"Male",4,8,50,2016,"R"
"m/how_to_be_single_2016","How To Be Single",2016-02-12,"R","Rotten",47,156,"Spilled",47,28017,"Male",5,16,31,2016,"R"
"m/hyena_road","Hyena Road",2016-03-11,"R","Rotten",55,22,"Spilled",59,1471,"Male",7,8,88,2016,"R"
"m/i_am_wrath","I Am Wrath",2016-05-13,"R","Rotten",11,9,"Spilled",33,1450,"Male",7,11,64,2016,"R"
