"name","gender"
"Abbey-May Wakefield",1
"Abbi Jacobson",1
"Abbie Cobb",1
"Abbie Cornish",1
"Abbie Dunn",1
"Abby Brammell",1
"Abby Craden",1
"Abby Dalton",1
"Abby Elliott",1
"Abby Quinn",1
"Abby Walker",1
"Abdallah El Akal",2
"Abdel Ahmed Ghili",2
"Abdel Aziz Khalil",2
"Abdel Aziz Makhyoun",2
"Abdelahk Lazali",2
"Abdelaziz Merzoug",2
"Abdelghafour Elaaziz",2
"Abdellatif Kechiche",2
"Abderrahmane Baalla",2
"Abdul Ayoola",2
"Abdul Salaam El Razzac",2
"Abdul Salis",2
"Abe Martell",2
"Abe Vigoda",2
"Abel Dolz Doval",2
"Abel Ferrara",2
"Abel Franco",2
"Abel Gance",2
"Abel Jacquin",2
"Abel Jafri",2
"Abel Tripaldi",2
"Abel Woolrich",2
"Abella Wyss",1
"Abhay Deol",2
"Abhi Bhattacharya",2
"Abhi Sinha",2
"Abhin Galeya",2
"Abhinav Kashyap",2
"Abhinayashree",1
"Abhishek Bharate",2
"Abi Gouhad",2
"Abi Tucker",1
"Abi Whetton",1
"Abian Vainstein",2
"Abigail",1
"Abigail Bianca",1
"Abigail Boucher",1
"Abigail Breslin",1
"Abigail Chu",1
"Abigail Clayton",1
"Abigail Cruttenden",1
"Abigail Garcia",1
"Abigail Hamilton",1
"Abigail Hardingham",1
"Abigail Hargrove",1
"Abigail Isom",1
"Abigail Klein",1
"Abigail Kuklis",1
"Abigail Marlowe",1
"Abigail Mason",1
"Abigail Mavity",1
"Abigail Pniowsky",1
"Abigail Schrader",1
"Abigail Spencer",1
"Abigail Stone",1
"Abigale Corrigan",1
"Abigayle Honeywill",1
"Abinaya",1
"Abner Biberman",2
"Abner Genece",2
"Abraham Alvarez",2
"Abraham Amkpa",2
"Abraham Attah",2
"Abraham Belaga",2
"Abraham Benrubi",2
"Abraham Galán",2
"Abraham Lim",2
"Abraham Sofaer",2
"Abraham Verduzco",2
"Abraxas Aaran",2
"Absa Diatou Toure",1
"Abu Salim",2
"Ace Bhatti",2
"Ace Buhr",2
"Achala Sachdev",1
"Achille Brugnini",2
"Achille Potier",2
"Achita Sikamana",1
"Achyut Potdar",2
"Achyuth Kumar",2
"Aclan Büyüktürkoğlu",2
"Actor Sergio Kato",2
"Ad Noyons",2
"Ad van Kempen",2
"Ada Carrasco",1
"Ada Gales",1
"Ada Maris",1
"Ada May",1
"Ada Nicodemou",1
"Ada Pometti",1
"Ada Rogovtseva",1
"Ada Vojtsik",1
"Ada Washington",1
"Ada-Nicole Sanger",1
"Adah Sharma",1
"Adair Tishler",1
"Adam Abrams",2
"Adam Alexi-Malle",2
"Adam Allfrey",2
"Adam Ant",2
"Adam Arkin",2
"Adam Aseem Tiwari",2
"Adam Baird",2
"Adam Baldwin",2
"Adam Bareham",2
"Adam Beach",2
"Adam Biesk",2
"Adam Blackwood",2
"Adam Bloch",2
"Adam Boyer",2
"Adam Brody",2
"Adam Brooks",2
"Adam Bryant",2
"Adam Busch",2
"Adam Butcher",2
"Adam Campbell",2
"Adam Carl",2
"Adam Chanler-Berat",2
"Adam Cheng",2
"Adam Chernick",2
"Adam Coleman Howard",2
"Adam Croasdell",2
"Adam Crosby",2
"Adam Curtis",2
"Adam David Thompson",2
"Adam Deacon",2
"Adam Devine",2
"Adam Deyoe",2
"Adam DiMarco",2
"Adam Driver",2
"Adam Faith",2
"Adam Faraizl",2
"Adam Ferency",2
"Adam Fergus",2
"Adam Ferrara",2
"Adam Fogerty",2
"Adam G. Sevani",2
"Adam Garcia",2
"Adam Gierasch",2
"Adam Ginsberg",2
"Adam Godley",2
"Adam Goldberg",2
"Adam Goldstein",2
"Adam Green",2
"Adam Gregory",2
"Adam Greydon Reid",2
"Adam Grimes",2
"Adam Grupper",2
"Adam Harrington",2
"Adam Hendershott",2
"Adam Henderson",2
"Adam Herschman",2
"Adam Herz",2
"Adam Hicks",2
"Adam Hollander",2
"Adam Horovitz",2
"Adam Huss",2
"Adam Ild Rohweder",2
"Adam Irigoyen",2
"Adam J. Bernstein",2
"Adam J. Smith",2
"Adam James",2
"Adam Johnson",2
"Adam Kaiser",2
"Adam Kantor",2
"Adam Kaufman",2
"Adam Killian",2
"Adam Kotz",2
"Adam Kroloff",2
"Adam Kulbersh",2
"Adam Lamberg",2
"Adam Lambert",2
"Adam LaVorgna",2
"Adam Lawson",2
"Adam Lazarre-White",2
"Adam Leadbeater",2
"Adam Leese",2
"Adam LeFevre",2
"Adam Levine",2
"Adam Levy",2
"Adam MacDonald",2
"Adam Mayfield",2
"Adam McKay",2
"Adam McMonigal",2
"Adam Moreno",2
"Adam Morris",2
"Adam Mucci",2
"Adam Nee",2
"Adam Nelson",2
"Adam Nimoy",2
"Adam Nortfors",2
"Adam Pally",2
"Adam Pascal",2
"Adam Paul",2
"Adam Paul Harvey",2
"Adam Pearson",2
"Adam Perry",2
"Adam Powell",2
"Adam Quintero",2
"Adam Rayner",2
"Adam Redfield",2
"Adam Rich",2
"Adam Rifkin",2
"Adam Roarke",2
"Adam Rodríguez",2
"Adam Rose",2
"Adam Rothenberg",2
"Adam Ryen",2
"Adam Sandler",2
"Adam Scarimbolo",2
"Adam Scott",2
"Adam Scott Miller",2
"Adam Seybold",2
"Adam Shankman",2
"Adam Sinclair",2
"Adam Smith",2
"Adam Stone",2
"Adam Storke",2
"Adam Teper",2
"Adam Thomas Wright",2
"Adam Till",2
"Adam Tomei",2
"Adam Tønsberg",2
"Adam Trese",2
"Adam Waxman",2
"Adam Weisman",2
"Adam West",2
"Adam White",2
"Adam Williams",2
"Adam Wingard",2
"Adam Wylie",2
"Adam Yauch",2
"Adam Zolotin",2
"Adama Niane",2
"Adamina Kerr",1
"Adamo Dionisi",2
"Adamo P. Cultraro",2
"Adamo Palladino",2
"Adamo Ruggiero",2
"Adan Canto",2
"Adar Beck",1
"Addie Yungmee",1
"Addison Bell",2
"Addison Richards",2
"Addison Riecke",1
"Addison Timlin",1
"Ade",2
"Adeana Lane",1
"Adeel Akhtar",2
"Adel Bencherif",2
"Adel Imam",2
"Adela Dubrá",1
"Adelaide Alaïs",1
"Adelaide Clemens",1
"Adelaide Kane",1
"Adélaïde Leroux",1
"Adelaide M. Wolf",1
"Adelayo Adedayo",1
"Adèle Ado",1
"Adèle Exarchopoulos",1
"Adele Givens",1
"Adèle Haenel",1
"Adele Lamont",1
"Adele Longmire",1
"Adele Malis-Morey",1
"Adele Mara",1
"Adele McCann",1
"Adele Robbins",1
"Adelheid Arndt",1
"Adeline Rebeillard",1
"Adelle Lutz",1
"Aden Young",2
"Adeola Ariyo",1
"Adepero Oduye",1
"Adetokumboh MCormack",2
"Adewale Akinnuoye-Agbaje",2
"Adhir Kalyan",2
"Adi Carauleanu",2
"Adi Hostiuc",2
"Adi Shankar",2
"Adia Kuznetzoff",2
"Adil Hussain",2
"Adilah Barnes",1
"Adina Cartianu",1
"Adina Cristescu",1
"Adina Herz",1
"Adithya Menon",2
"Aditi Rao Hydari",1
"Aditi Vasudev",1
"Aditya Pancholi",2
"Aditya Roy Kapoor",2
"Adivi Sesh",2
"Adjoa Andoh",1
"Adnan Maral",2
"Adnan Uygur",2
"Adolf Hitler",2
"Adolf Wohlbrück",2
"Adolfas Mekas",2
"Adolfo Celi",2
"Adolfo Lastretti",2
"Adolfo Thous",2
"Adolfo Yanelli",2
"Adolph Caesar",2
"Adolph Green",2
"Adolph Milar",2
"Adolphe Menjou",2
"Adoni Maropis",2
"Adora Dei",1
"Adreana Gonzalez",1
"Adria Arjona",1
"Adrià Collado",2
"Adria Dawn",1
"Adria Tennor",1
"Adrian",2
"Adrián Alonso Barona",2
"Adrian Anghel",2
"Adrian Armas",2
"Adrian Bustamante",2
"Adrian Can",2
"Adrian Clarke",2
"Adrian Dunbar",2
"Adrian Flowers",2
"Adrian G. Griffiths",2
"Adrian Galley",1
"Adrian Getley",2
"Adrian Glynn McMorran",2
"Adrian Grenier",2
"Adrian Grønnevik Smith",2
"Adrian Hall",2
"Adrian Holmes",2
"Adrian Hough",2
"Adrian Hoven",2
"Adrian Kali Turner",2
"Adrián Lastra",2
"Adrian Lester",2
"Adrian Lukis",2
"Adrian Makala",2
"Adrian Martinez",2
"Adrián Navarro",2
"Adrian Neil",2
"Adrian Pang",2
"Adrian Pasdar",2
"Adrian Paul",2
"Adrian Pavlovschi",2
"Adrian Petriw",2
"Adrian Quinonez",2
"Adrian Rawlins",2
"Adrian Rayment",2
"Adrian Ricard",1
"Adrian Roberts",2
"Adrian Ross Magenty",2
"Adrian Scarborough",2
"Adrian Schiller",2
"Adrian Smith",2
"Adrian Spurlock",2
"Adrián Suar",2
"Adrian Țofei",2
"Adrian Topol",2
"Adrian Văncică",2
"Adrian Voo",2
"Adrian Wright",2
"Adrián Yospe",2
"Adrian Zmed",2
"Adriana Altaras",1
"Adriana Asti",1
"Adriana Barraza",1
"Adriana Butoi",1
"Adriana Calcanhotto",1
"Adriana Caselotti",1
"Adriana Falco",1
"Adriana Louvier",1
"Adriana ONeil",1
"Adriana Ozores",1
"Adriana Paz",1
"Adriana Russo",1
"Adriana Ugarte",1
"Adriane Galisteu",1
"Adriane Lenox",1
"Adrianna Belan",1
"Adrianna Di Liello",1
"Adrianna Miles",1
"Adrianne Frost",1
"Adrianne Palicki",1
"Adrianne Sachs",1
"Adriano Celentano",2
"Adriano Cornelli",2
"Adriano Giannini",2
"Adriano Luz",2
"Adriano Pantaleo",2
"Adrien Brody",2
"Adrien de Van",2
"Adrien Dixon",2
"Adrien Dorval",2
"Adrienne Ames",1
"Adrienne Bailon",1
"Adrienne Ballenger",1
"Adrienne Barbeau",1
"Adrienne Barrett",1
"Adrienne Burgess",1
"Adrienne Canterna",1
"Adrienne Carter",1
"Adrienne Corri",1
"Adrienne Dore",1
"Adrienne Frantz",1
"Adrienne Gessner",1
"Adrienne King",1
"Adrienne La Russa",1
"Adrienne McQueen",1
"Adrienne Pauly",1
"Adrienne Pickering",1
"Adrienne Posta",1
"Adrienne Rey",1
"Adrienne Shelly",1
"Adrienne Wilkinson",1
"Advent Bangun",2
"Adwin Brown",2
"Ady An",1
"Ady Berber",2
"Aedin Mincks",2
"Aeryk Egan",2
"Afemo Omilami",2
"Affif Ben Badra",2
"Affion Crockett",2
"Afonso Pimentel",2
"África Pratt",1
"Afshan Azad",1
"Afsheen Olyaie",2
"Aftab Shivdasani",2
"Afton Smith",1
"Aga-Rza Kuliyev",2
"Agam Darshi",1
"Agata Buzek",1
"Agata Kulesza",1
"Ágata Lys",1
"Agata Trzebuchowska",1
"Agathe de La Fontaine",1
"Agenore Incrocci",2
"Aggie Herring",1
"Agha",2
"Ági Szirtes",1
"Agim Coma",2
"Aglaia Szyszkowitz",1
"Agne Grudyte",1
"Agnes Anderson",1
"Agnes Bouille",1
"Agnes Bruckner",1
"Agnes Esterhazy",1
"Agnès Jaoui",1
"Agnes Kittelsen",1
"Agnes Kraus",1
"Agnes Moorehead",1
"Agnes Rehni",1
"Agnès Rosier",1
"Agnes Schuch",1
"Agnès Soral",1
"Agnes Soska",1
"Agnès Varda",1
"Agnes Windeck",1
"Agnese Nano",1
"Agneta Ekmanner",1
"Agnetha Fältskog",1
"Agnieshka Wnorowska",1
"Agnieszka Grochowska",1
"Agnieszka Holland",1
"Agnieszka Musiala",1
"Agnieszka Podsiadlik",1
"Agnieszka Sienkiewicz",1
"Agnieszka Wagner",1
"Agniya Kuznetsova",1
"Agoritsa Oikonomou",1
"Agostina Belli",1
"Agostino Borgato",2
"Agostino Nani",2
"Agot Isidro",1
"Agueda Cardenas",1
"Agus Kuncoro",2
"Agustín Almodóvar",2
"Agustín Bernal",2
"Agustín González",2
"Agustín Isunza",2
"Agustín Jiménez",2
"Agustin Rodriguez",2
"Agyness Deyn",1
"Aharon Ipalé",2
"Ahmad Khan Mahmoodzada",2
"Ahmad Zaki",2
"Ahman Green",2
"Ahmaogak Sweeney",2
"Ahmed Ahmed",2
"Ahmed Best",2
"Ahmed Dash",2
"Ahmed Fouad Selim",2
"Ahmed Hassan",2
"Ahmed Helmy",2
"Ahmed Malek",2
"Ahmet Zappa",2
"Ahn Jae-hong",2
"Ahn Nae-sang",2
"Ahn Seo-hyun",1
"Ahn So-hee",1
"Ahn Sun-yeong",1
"Ahn Sung-Ki",2
"Ahney Her",1
"Ai Hashimoto",1
"Ai Kago",1
"Ai Kato",1
"Ai Kayano",1
"Aï Keïta",1
"Ai Nonaka",1
"Ai Satou",1
"Ai Ti",1
"Aida Folch",1
"Aida Linares",1
"Aida Tumutova",1
"Aída Yéspica",1
"Aidan Devine",2
"Aidan Drummond",2
"Aidan Gillen",2
"Aidan Gillett",2
"Aidan Gould",2
"Aidan Kelly",2
"Aidan Liam Smith",2
"Aidan McArdle",2
"Aidan Mitchell",2
"Aidan Pendleton",1
"Aidan Quinn",2
"Aidan Redmond",2
"Aidan Sussman",2
"Aidan Turner",2
"Aidee Walker",1
"Aiden Longworth",2
"Aiden Turner",2
"Aidy Bryant",1
"Aieisha Li",1
"Aija Terauda",1
"Aiko Horiuchi",1
"Aileen Archer",1
"Aileen Lewis",1
"Aileen Pringle",1
"Aileen Quinn",1
"Aileen Wuornos",1
"Aileigh Karson",1
"Ailín Salas",1
"Ailsa Marshall",1
"Ailton Graça",2
"Aimee Brooks",1
"Aimee Carrero",1
"Aimée Delamain",1
"Aimee Garcia",1
"Aimee Graham",1
"Aimee Kelly",1
"Aimee Mann",1
"Aimee Miles",1
"Aimee Moraca",1
"Aimee Mullins",1
"Aimee Richardson",1
"Aimee Teegarden",1
"Aimee-Lynn Chadwick",1
"Aine Leicht",1
"Aino Junka",1
"Aisha Francis",1
"Aisha Hinds",1
"Aisha Tyler",1
"Aishwarya Rai Bachchan",1
"Aishwarya Rajesh",1
"Aislín McGuckin",1
"Aisling Franciosi",1
"Aisling Loftus",1
"Aisling ONeill",1
"Aisling OSullivan",1
"Aislinn Paul",1
"Aïssa Maïga",1
"Aïssatou Diop",1
"Aistė Diržiūtė",1
"Aitana Sánchez-Gijón",1
"Aitziber Garmendia",1
"Aixa Villagran",1
"Aj Bediako",2
"AJ Bowen",2
"AJ Michalka",1
"Aja Evans",1
"Aja Frary",1
"Aja Naomi King",1
"Ajani Perkins",2
"Ajay",2
"Ajay Devgn",2
"Ajay Naidu",2
"Ajit Vachani",2
"Ajita Wilson",1
"Ajith Kumar",2
"Aju Varghese",2
"Akash Khurana",2
"Akbar Kurtha",2
"Åke Claesson",2
"Åke Falck",2
"Åke Fridell",2
"Åke Lindman",2
"Åke Lindström",2
"Akéla Sari",1
"Akemi Goto",1
"Akemnji Ndifernyan",2
"Akhilendra Mishra",2
"Aki Aleong",2
"Aki Asakura",1
"Aki Avni",2
"Aki Hiraoka",1
"Aki Toyosaki",1
"Akifumi Miura",2
"Akihiko Hirata",2
"Akiji Kobayashi",2
"Akiko Hiramatsu",1
"Akiko Kana",1
"Akiko Kazami",1
"Akiko Kikuchi",1
"Akiko Morison",1
"Akiko Wakabayashi",1
"Akim Chir",2
"Akim Tamiroff",2
"Akina Minami",1
"Akio Isono",2
"Akio Nojima",2
"Akio Ohtsuka",2
"Akira Emoto",2
"Akira Hamada",2
"Akira Ishida",2
"Akira Ishihama",2
"Akira Ito",2
"Akira Kubo",2
"Akira Kurosawa",2
"Akira Natsuki",2
"Akira Oda",2
"Akira Ogata",2
"Akira Onodera",2
"Akira Sera",2
"Akira Takarada",2
"Akira Terao",2
"Akiva Goldsman",2
"Akiva Schaffer",2
"Ako Mayama",1
"Akon",2
"Ákos Horváth",2
"Akosua Busia",1
"Aksel Erhardtsen",2
"Aksel Hennie",2
"Akshara Gowda",1
"Akshara Haasan",1
"Akshay Kumar",2
"Akshaye Khanna",2
"Aku Hirviniemi",2
"Akuyoe Graham",1
"Al B. Sure!",2
"Al Bandiero",2
"Al Bridge",2
"Al Carabello",2
"Al Checco",2
"Al Corley",2
"Al Coronel",2
"Al Dana",2
"Al Dubois",2
"Al Eben",2
"Al Ernest Garcia",2
"Al Fann",2
"Al Foster",2
"Al Franken",2
"Al Freeman Jr.",2
"Al Function",2
"Al Garrett",2
"Al Ginter",2
"Al Gore",2
"Al Green",2
"Al Hansen",2
"Al Harrington",2
"Al Herman",2
"Al Hill",2
"Al Hunter Ashton",2
"Al Israel",2
"Al Jones",2
"Al Jourgensen",2
"Al Kaplon",2
"Al Kikume",2
"Al Leong",2
"Al Lettieri",2
"Al Lewis",2
"Al Madrigal",2
"Al Mancini",2
"Al Matthews",2
"Al Michaels",2
"Al Molinaro",2
"Al Mulock",2
"Al Murray",2
"Al Pacino",2
"Al Robertson",2
"Al Roker",2
"Al Ruban",2
"Al Ruscio",2
"Al Santos",2
"Al Sapienza",2
"Al Septien",2
"Al Shean",2
"Al Shearer",2
"Al Silvani",2
"Al St. John",2
"Al Stetson",2
"Al Taylor",2
"Al Thompson",2
"Al Vandecruys",2
"Al Vicente",2
"Al Vrkljan",2
"Al Waxman",2
"Al Weaver",2
"Al White",2
"Aladin Reibel",2
"Alain Attal",2
"Alain Bashung",2
"Alain Beigel",2
"Alain Bouvette",2
"Alain Chabat",2
"Alain Cuny",2
"Alain Delon",2
"Alain Dijon",2
"Alain Doutey",2
"Alain Figlarz",2
"Alain Fromager",2
"Alain Goulem",2
"Alain Hernández",2
"Alain Jakubowicz",2
"Alain Laperrière",2
"Alain Macé",2
"Alain Moussi",2
"Alain Prost",2
"Alain Sarde",2
"Alain Souchon",2
"Alain Tasma",2
"Alain Uy",2
"Alaina Gianci",1
"Alaina Huffman",1
"Alaina Reed Hall",1
"Alaina Whitney",1
"Alaine Tyler",1
"Alakina Mann",1
"Alan Abelew",2
"Alan Alda",2
"Alan Amiel",2
"Alan Andersz",2
"Alan Arkin",2
"Alan Autry",2
"Alan Badel",2
"Alan Baldwin",2
"Alan Bates",2
"Alan Baxter",2
"Alan Bean",2
"Alan Bennett",2
"Alan Blazek",2
"Alan Blumenfeld",2
"Alan Boone",2
"Alan Boyce",2
"Alan C. Peterson",2
"Alan Carney",2
"Alan Carr",2
"Alan Cassell",2
"Alan Cedargreen",2
"Alan Charof",2
"Alan Cinis",2
"Alan Coates",2
"Alan Cohen",2
"Alan Cooke",2
"Alan Cox",2
"Alan Cumming",2
"Alan Curtis",2
"Alan D. Purwin",2
"Alan Dale",2
"Alan David",2
"Alan Davidson",2
"Alan Davies",2
"Alan Devine",2
"Alan Devlin",2
"Alan DeWitt",2
"Alan Dexter",2
"Alan Dinehart",2
"Alan Doyle",2
"Alan Edwards",2
"Alan Estrada",2
"Alan Eugster",2
"Alan Fawcett",2
"Alan Feinstein",2
"Alan Fine",2
"Alan Flower",2
"Alan Ford",2
"Alan Francis",2
"Alan Fudge",2
"Alan Gelfant",2
"Alan Gray",2
"Alan Greisman",2
"Alan Gutiérrez",2
"Alan Hale",2
"Alan Hale Jr.",2
"Alan Harris",2
"Alan Haufrect",2
"Alan Heim",2
"Alan Hewitt",2
"Alan Hopgood",2
"Alan Hopkins",2
"Alan Howard",2
"Alan Howard (1951)",2
"Alan King",2
"Alan Koss",2
"Alan Kuo",2
"Alan Ladd",2
"Alan Ladd Jr.",2
"Alan Lake",2
"Alan Lee",2
"Alan Lewis",2
"Alan MacNaughton",2
"Alan Madlane",2
"Alan Manson",2
"Alan Marshal",2
"Alan McRae",2
"Alan Moore",2
"Alan Mowbray",2
"Alan Napier",2
"Alan North",2
"Alan Ormsby",2
"Alan OSilva",2
"Alan Palomo",2
"Alan Parker",2
"Alan Pauls",2
"Alan Pietruszewski",2
"Alan Pietruzewski",2
"Alan Polonsky",2
"Alan Poul",2
"Alan Rachins",2
"Alan Ramírez",2
"Alan Reed",2
"Alan Rickman",2
"Alan Ritchson",2
"Alan Rosenberg",2
"Alan Rossett",2
"Alan Ruck",2
"Alan Rudolph",2
"Alan Sabbagh",2
"Alan Scarfe",2
"Alan Sharp",2
"Alan Shearman",2
"Alan Silverman",2
"Alan Silvestri",2
"Alan Stanford",2
"Alan Steel",2
"Alan Stocks",2
"Alan Sues",2
"Alan Taylor",2
"Alan Thicke",2
"Alan Tilvern",2
"Alan Toy",2
"Alan Tudyk",2
"Alan Tuskes",2
"Alan van Sprang",2
"Alan Vint",2
"Alan Ward",2
"Alan Weeks",2
"Alan Wells",2
"Alan Wheatley",2
"Alan Wilder",2
"Alan Williams",2
"Alan Young",2
"Alan Zweibel",2
"Alan Zweig",2
"Alana Austin",1
"Alana Cavanaugh",1
"Alana Curry",1
"Alana de la Garza",1
"Alana Drozduke",1
"Alana Husband",1
"Alana Ladd",1
"Alana Maria",1
"Alana OBrien",1
"Alana Stewart",1
"Alana Whites",1
"Alanis Morissette",1
"Alanis Peart",1
"Alanna Dergan",1
"Alanna Ubach",1
"Alannah Ong",1
"Alano Miller",2
"Alastair Duncan",2
"Alastair Gamble",2
"Alastair Hunter",2
"Alastair MacIntosh",2
"Alastair Mackenzie",2
"Alastair Sim",2
"Alayna Corrick",1
"Alba Alonso",1
"Alba August",1
"Alba Francesca",1
"Alba Gaïa Kraghede Bellugi",1
"Alba Galocha",1
"Alba Maiolini",1
"Alba Parietti",1
"Alba Ribas",1
"Alba Rohrwacher",1
"Alban Ceray",2
"Alban Ivanov",2
"Alban Lenoir",2
"Albee Bautista",1
"Albena Stavreva",1
"Alberigo Donadeo",2
"Albert Augier",2
"Albert Austin",2
"Albert Bassermann",2
"Albert Brooks",2
"Albert Carrier",2
"Albert Cole",2
"Albert Conti",2
"Albert Daniels",2
"Albert Dekker",2
"Albert Delpy",2
"Albert Dieudonné",2
"Albert Dumortier",2
"Albert Dupontel",2
"Albert Duvaleix",2
"Albert E. Hayes",2
"Albert Filozov",2
"Albert Gardner",2
"Albert Hackett",2
"Albert Hague",2
"Albert Hall",2
"Albert Insinnia",2
"Albert Kitzl",2
"Albert Kwan",2
"Albert Lieven",2
"Albert Lippert",2
"Albert López-Murtra",2
"Albert Marrero Jr.",2
"Albert Maysles",2
"Albert Michel",2
"Albert Michel Jr.",2
"Albert Misak",2
"Albert Moses",2
"Albert Pollet",2
"Albert Popwell",2
"Albert Pyun",2
"Albert R. Broccoli",2
"Albert Rueprecht",2
"Albert Salmi",2
"Albert Sanders",2
"Albert Schultz",2
"Albert Seedman",2
"Albert Steinrück",2
"Albert Szabo",2
"Albert Taylor",2
"Albert Valladares",2
"Albert Venohr",2
"Albert Welling",2
"Albert Whitlock",2
"Albert Wong",2
"Albert Zugsmith",2
"Alberta Watson",1
"Alberto Alifa",2
"Alberto Amarilla",2
"Alberto Ammann",2
"Alberto Bognanni",2
"Alberto Bonucci",2
"Alberto Chicote",2
"Alberto Closas",2
"Alberto de Mendoza",2
"Alberto DellAcqua",2
"Alberto Estrella",2
"Alberto Fernández",2
"Alberto Ferreiro",2
"Alberto Galán",2
"Alberto Garbizza",2
"Alberto Ghisi",2
"Alberto Isaac",2
"Alberto Jiménez",2
"Alberto Lattuada",2
"Alberto Lionello",2
"Alberto López",2
"Alberto Lupo",2
"Alberto Molinari",2
"Alberto Moravia",2
"Alberto Morin",2
"Alberto Pedret",2
"Alberto Piña",2
"Alberto Pozzo",2
"Alberto Rabagliati",2
"Alberto Romea",2
"Alberto San Juan",2
"Alberto Sordi",2
"Alberto Sorrentino",2
"Alberto Vazquez",2
"Albie Casiño",2
"Albie Woodington",2
"Albrecht Schmidt",2
"Albrecht Schoenhals",2
"Aldemar Correa",2
"Alden Ehrenreich",2
"Alden Ray",2
"Aldo Barberito",2
"Aldo Fabrizi",2
"Aldo Gonzalez",2
"Aldo Juliano",2
"Aldo Maccione",2
"Aldo Maland",2
"Aldo Ralli",2
"Aldo Ray",2
"Aldo Sambrell",2
"Aldo Silvani",2
"Aldrich Bowker",2
"Alean Bambi Hamilton",1
"Alec B. Francis",2
"Alec Baldwin",2
"Alec Barnes",2
"Alec Bourgeois",2
"Alec Clunes",2
"Alec Gillis",2
"Alec Guinness",2
"Alec Holden",2
"Alec Mango",2
"Alec Mapa",2
"Alec McClure",2
"Alec McCowen",2
"Alec Medlock",2
"Alec Newman",2
"Alec Roberts",2
"Alec Su",2
"Alec Sulkin",2
"Alec Utgoff",2
"Alec Vigil",2
"Alec Whitney",2
"Alec Wilson",2
"Alecia Batson",1
"Alecia Jai Fears",1
"Aleczander Gordon",2
"Aleece Jones",1
"Aleisha Allen",1
"Alejandra Adame",1
"Alejandra Gollas",1
"Alejandra Grepi",1
"Alejandra Meyer",1
"Alejandra Pérez",1
"Alejandrina Betancourt",1
"Alejandro Agresti",2
"Alejandro Awada",2
"Alejandro Belmonte",2
"Alejandro Camacho",2
"Alejandro Ciangherotti",2
"Alejandro Cobo",2
